nb_sample,node,max_cycle,avgcycle,max_delta,avg_delta
43,6,8,8,3.3333333333333335,7,3.891304347826087,
617,6,8,8,2.75,7,3.46875,
1113,6,8,8,4.0,7,3.25,
1174,6,15,15,5.666666666666667,14,8.368421052631579,
1205,6,8,8,4.5,7,2.3333333333333335,
1231,6,9,9,3.6666666666666665,8,3.264705882352941,
1944,6,8,8,4.5,7,3.103448275862069,
2047,6,11,11,6.0,10,6.112903225806452,
2083,6,8,8,2.6,7,3.8125,
2273,6,11,11,6.0,10,5.194444444444445,
2401,6,8,8,4.5,7,2.857142857142857,
2476,6,9,9,3.6666666666666665,8,3.590909090909091,
2504,6,8,8,3.3333333333333335,7,2.4375,
2545,6,8,8,4.5,7,2.8714285714285714,
2629,6,8,8,4.5,7,3.3421052631578947,
2946,6,9,9,5.0,8,3.4285714285714284,
3010,6,8,8,4.5,7,3.3703703703703702,
3387,6,8,8,3.3333333333333335,7,2.673076923076923,
4291,6,8,8,5.666666666666667,7,5.666666666666667,
4310,6,8,8,4.5,7,3.825,
4775,6,8,8,4.5,7,3.235294117647059,
23,6,8,8,4.5,7,2.880952380952381,
803,6,8,8,3.3333333333333335,7,4.260869565217392,
1350,6,8,8,3.3333333333333335,7,3.638888888888889,
1548,6,11,11,6.0,10,5.424242424242424,
1641,6,8,8,4.5,7,5.666666666666667,
2188,6,8,8,3.6666666666666665,7,3.7083333333333335,
2725,6,9,9,5.0,8,4.380952380952381,
2797,6,8,8,3.3333333333333335,7,2.9,
3140,6,8,8,4.5,7,2.1285714285714286,
3475,6,8,8,4.5,7,2.7666666666666666,
3568,6,10,10,4.0,9,4.984375,
4326,6,9,9,3.6666666666666665,8,2.3,
4571,6,8,8,4.5,7,2.3541666666666665,
4875,6,10,10,5.5,9,4.451612903225806,
4927,6,8,8,4.5,7,5.625,
4968,6,8,8,2.75,7,2.859375,
